Time,Q1,Q2,TC1,TC2
0.00E+00,0.00E+00,0.00E+00,1.88E+01,1.66E+01
3.00E+00,0.00E+00,0.00E+00,1.88E+01,1.64E+01
6.00E+00,0.00E+00,0.00E+00,1.87E+01,1.64E+01
9.00E+00,0.00E+00,0.00E+00,1.86E+01,1.63E+01
1.20E+01,0.00E+00,0.00E+00,1.86E+01,1.66E+01
1.50E+01,0.00E+00,0.00E+00,1.87E+01,1.66E+01
1.80E+01,0.00E+00,0.00E+00,1.88E+01,1.67E+01
2.10E+01,0.00E+00,0.00E+00,1.86E+01,1.63E+01
2.40E+01,0.00E+00,0.00E+00,1.87E+01,1.65E+01
2.70E+01,0.00E+00,0.00E+00,1.88E+01,1.65E+01
3.00E+01,0.00E+00,0.00E+00,1.88E+01,1.66E+01
3.30E+01,0.00E+00,0.00E+00,1.88E+01,1.66E+01
3.60E+01,0.00E+00,0.00E+00,1.89E+01,1.65E+01
3.90E+01,0.00E+00,0.00E+00,1.86E+01,1.68E+01
4.20E+01,0.00E+00,0.00E+00,1.85E+01,1.67E+01
4.50E+01,0.00E+00,0.00E+00,1.85E+01,1.63E+01
4.80E+01,0.00E+00,0.00E+00,1.88E+01,1.66E+01
5.10E+01,0.00E+00,0.00E+00,1.86E+01,1.64E+01
5.40E+01,0.00E+00,0.00E+00,1.87E+01,1.66E+01
5.70E+01,0.00E+00,0.00E+00,1.86E+01,1.67E+01
6.00E+01,4.02E+00,0.00E+00,1.87E+01,1.66E+01
6.30E+01,4.02E+00,0.00E+00,1.86E+01,1.67E+01
6.60E+01,4.02E+00,0.00E+00,1.85E+01,1.68E+01
6.90E+01,4.02E+00,0.00E+00,1.86E+01,1.65E+01
7.21E+01,4.02E+00,0.00E+00,1.85E+01,1.64E+01
7.51E+01,4.02E+00,0.00E+00,1.86E+01,1.65E+01
7.81E+01,4.02E+00,0.00E+00,1.84E+01,1.66E+01
8.11E+01,4.02E+00,0.00E+00,1.86E+01,1.66E+01
8.41E+01,4.02E+00,0.00E+00,1.86E+01,1.66E+01
8.71E+01,4.02E+00,0.00E+00,1.87E+01,1.65E+01
9.01E+01,4.02E+00,0.00E+00,1.87E+01,1.67E+01
9.31E+01,4.02E+00,0.00E+00,1.86E+01,1.66E+01
9.61E+01,4.02E+00,0.00E+00,1.88E+01,1.66E+01
9.91E+01,4.02E+00,0.00E+00,1.86E+01,1.66E+01
1.02E+02,4.02E+00,0.00E+00,1.86E+01,1.65E+01
1.05E+02,4.02E+00,0.00E+00,1.88E+01,1.68E+01
1.08E+02,4.02E+00,0.00E+00,1.89E+01,1.65E+01
1.11E+02,4.02E+00,0.00E+00,1.90E+01,1.66E+01
1.14E+02,4.02E+00,0.00E+00,1.88E+01,1.67E+01
1.17E+02,4.02E+00,0.00E+00,1.88E+01,1.66E+01
1.20E+02,3.59E+01,0.00E+00,1.89E+01,1.68E+01
1.23E+02,3.59E+01,0.00E+00,1.89E+01,1.67E+01
1.26E+02,3.59E+01,0.00E+00,1.89E+01,1.68E+01
1.29E+02,3.59E+01,0.00E+00,1.91E+01,1.66E+01
1.32E+02,3.59E+01,0.00E+00,1.92E+01,1.66E+01
1.35E+02,3.59E+01,0.00E+00,1.94E+01,1.66E+01
1.38E+02,3.59E+01,0.00E+00,1.96E+01,1.66E+01
1.41E+02,3.59E+01,0.00E+00,1.97E+01,1.66E+01
1.44E+02,3.59E+01,0.00E+00,1.99E+01,1.67E+01
1.47E+02,3.59E+01,0.00E+00,2.00E+01,1.68E+01
1.50E+02,3.59E+01,8.04E+01,2.02E+01,1.67E+01
1.53E+02,3.59E+01,8.04E+01,2.04E+01,1.70E+01
1.56E+02,3.59E+01,8.04E+01,2.07E+01,1.71E+01
1.59E+02,3.59E+01,8.04E+01,2.10E+01,1.71E+01
1.62E+02,3.59E+01,8.04E+01,2.12E+01,1.74E+01
1.65E+02,3.59E+01,8.04E+01,2.17E+01,1.77E+01
1.68E+02,3.59E+01,8.04E+01,2.15E+01,1.71E+01
1.71E+02,3.59E+01,8.04E+01,2.16E+01,1.73E+01
1.74E+02,3.59E+01,8.04E+01,2.17E+01,1.74E+01
1.77E+02,3.59E+01,8.04E+01,2.20E+01,1.76E+01
1.80E+02,1.35E+01,8.04E+01,2.23E+01,1.84E+01
1.83E+02,1.35E+01,8.04E+01,2.24E+01,1.84E+01
1.86E+02,1.35E+01,8.04E+01,2.25E+01,1.90E+01
1.89E+02,1.35E+01,8.04E+01,2.27E+01,1.93E+01
1.92E+02,1.35E+01,8.04E+01,2.29E+01,1.95E+01
1.95E+02,1.35E+01,8.04E+01,2.29E+01,1.93E+01
1.98E+02,1.35E+01,8.04E+01,2.27E+01,2.01E+01
2.01E+02,1.35E+01,8.04E+01,2.30E+01,2.01E+01
2.04E+02,1.35E+01,8.04E+01,2.34E+01,2.04E+01
2.07E+02,1.35E+01,8.04E+01,2.31E+01,2.06E+01
2.10E+02,1.35E+01,4.45E+01,2.38E+01,2.16E+01
2.13E+02,1.35E+01,4.45E+01,2.38E+01,2.18E+01
2.16E+02,1.35E+01,4.45E+01,2.36E+01,2.21E+01
2.19E+02,1.35E+01,4.45E+01,2.38E+01,2.22E+01
2.22E+02,1.35E+01,4.45E+01,2.36E+01,2.25E+01
2.25E+02,1.35E+01,4.45E+01,2.38E+01,2.23E+01
2.28E+02,1.35E+01,4.45E+01,2.40E+01,2.28E+01
2.31E+02,1.35E+01,4.45E+01,2.41E+01,2.34E+01
2.34E+02,1.35E+01,4.45E+01,2.41E+01,2.31E+01
2.37E+02,1.35E+01,4.45E+01,2.44E+01,2.38E+01
2.40E+02,3.78E+01,4.45E+01,2.44E+01,2.35E+01
2.43E+02,3.78E+01,4.45E+01,2.43E+01,2.37E+01
2.46E+02,3.78E+01,4.45E+01,2.45E+01,2.41E+01
2.49E+02,3.78E+01,4.45E+01,2.44E+01,2.41E+01
2.52E+02,3.78E+01,4.45E+01,2.47E+01,2.41E+01
2.55E+02,3.78E+01,4.45E+01,2.48E+01,2.42E+01
2.58E+02,3.78E+01,4.45E+01,2.51E+01,2.47E+01
2.61E+02,3.78E+01,4.45E+01,2.58E+01,2.51E+01
2.64E+02,3.78E+01,4.45E+01,2.59E+01,2.53E+01
2.67E+02,3.78E+01,4.45E+01,2.58E+01,2.54E+01
2.70E+02,3.78E+01,9.51E+01,2.61E+01,2.50E+01
2.73E+02,3.78E+01,9.51E+01,2.63E+01,2.58E+01
2.76E+02,3.78E+01,9.51E+01,2.67E+01,2.60E+01
2.79E+02,3.78E+01,9.51E+01,2.68E+01,2.62E+01
2.82E+02,3.78E+01,9.51E+01,2.71E+01,2.62E+01
2.85E+02,3.78E+01,9.51E+01,2.73E+01,2.65E+01
2.88E+02,3.78E+01,9.51E+01,2.74E+01,2.65E+01
2.91E+02,3.78E+01,9.51E+01,2.73E+01,2.67E+01
2.94E+02,3.78E+01,9.51E+01,2.75E+01,2.69E+01
2.97E+02,3.78E+01,9.51E+01,2.77E+01,2.69E+01
3.00E+02,8.35E+01,9.51E+01,2.80E+01,2.73E+01
3.03E+02,8.35E+01,9.51E+01,2.81E+01,2.74E+01
3.06E+02,8.35E+01,9.51E+01,2.84E+01,2.76E+01
3.09E+02,8.35E+01,9.51E+01,2.87E+01,2.76E+01
3.12E+02,8.35E+01,9.51E+01,2.90E+01,2.85E+01
3.15E+02,8.35E+01,9.51E+01,2.93E+01,2.87E+01
3.18E+02,8.35E+01,9.51E+01,2.98E+01,2.89E+01
3.21E+02,8.35E+01,9.51E+01,3.01E+01,2.91E+01
3.24E+02,8.35E+01,9.51E+01,3.07E+01,2.91E+01
3.27E+02,8.35E+01,9.51E+01,3.09E+01,2.92E+01
3.30E+02,8.35E+01,9.05E+01,3.13E+01,2.93E+01
3.33E+02,8.35E+01,9.05E+01,3.19E+01,2.96E+01
3.36E+02,8.35E+01,9.05E+01,3.21E+01,2.95E+01
3.39E+02,8.35E+01,9.05E+01,3.26E+01,2.98E+01
3.42E+02,8.35E+01,9.05E+01,3.30E+01,2.99E+01
3.45E+02,8.35E+01,9.05E+01,3.35E+01,3.03E+01
3.48E+02,8.35E+01,9.05E+01,3.40E+01,3.06E+01
3.51E+02,8.35E+01,9.05E+01,3.44E+01,3.06E+01
3.54E+02,8.35E+01,9.05E+01,3.49E+01,3.12E+01
3.57E+02,8.35E+01,9.05E+01,3.51E+01,3.13E+01
3.60E+02,8.15E+01,9.05E+01,3.54E+01,3.13E+01
3.63E+02,8.15E+01,9.05E+01,3.58E+01,3.09E+01
3.66E+02,8.15E+01,9.05E+01,3.60E+01,3.11E+01
3.69E+02,8.15E+01,9.05E+01,3.63E+01,3.13E+01
3.72E+02,8.15E+01,9.05E+01,3.67E+01,3.14E+01
3.75E+02,8.15E+01,9.05E+01,3.72E+01,3.13E+01
3.78E+02,8.15E+01,9.05E+01,3.77E+01,3.19E+01
3.81E+02,8.15E+01,9.05E+01,3.80E+01,3.24E+01
3.84E+02,8.15E+01,9.05E+01,3.84E+01,3.21E+01
3.87E+02,8.15E+01,9.05E+01,3.83E+01,3.17E+01
3.90E+02,8.15E+01,6.01E+01,3.89E+01,3.23E+01
3.93E+02,8.15E+01,6.01E+01,3.92E+01,3.24E+01
3.96E+02,8.15E+01,6.01E+01,3.97E+01,3.28E+01
3.99E+02,8.15E+01,6.01E+01,3.99E+01,3.24E+01
4.02E+02,8.15E+01,6.01E+01,4.01E+01,3.25E+01
4.05E+02,8.15E+01,6.01E+01,4.04E+01,3.23E+01
4.08E+02,8.15E+01,6.01E+01,4.07E+01,3.29E+01
4.11E+02,8.15E+01,6.01E+01,4.10E+01,3.28E+01
4.14E+02,8.15E+01,6.01E+01,4.13E+01,3.26E+01
4.17E+02,8.15E+01,6.01E+01,4.16E+01,3.29E+01
4.20E+02,4.43E+01,6.01E+01,4.19E+01,3.30E+01
4.23E+02,4.43E+01,6.01E+01,4.21E+01,3.28E+01
4.26E+02,4.43E+01,6.01E+01,4.22E+01,3.24E+01
4.29E+02,4.43E+01,6.01E+01,4.28E+01,3.33E+01
4.32E+02,4.43E+01,6.01E+01,4.30E+01,3.30E+01
4.35E+02,4.43E+01,6.01E+01,4.31E+01,3.36E+01
4.38E+02,4.43E+01,6.01E+01,4.31E+01,3.31E+01
4.41E+02,4.43E+01,6.01E+01,4.32E+01,3.33E+01
4.44E+02,4.43E+01,6.01E+01,4.36E+01,3.39E+01
4.47E+02,4.43E+01,6.01E+01,4.35E+01,3.36E+01
4.50E+02,4.43E+01,4.44E+01,4.33E+01,3.37E+01
4.53E+02,0.00E+00,4.44E+01,4.34E+01,3.37E+01
4.56E+02,0.00E+00,4.44E+01,4.32E+01,3.35E+01
4.59E+02,0.00E+00,4.44E+01,4.28E+01,3.34E+01
4.62E+02,0.00E+00,4.44E+01,4.29E+01,3.34E+01
4.65E+02,0.00E+00,4.44E+01,4.30E+01,3.34E+01
4.68E+02,0.00E+00,4.44E+01,4.29E+01,3.37E+01
4.71E+02,0.00E+00,4.44E+01,4.27E+01,3.38E+01
4.74E+02,0.00E+00,4.44E+01,4.25E+01,3.38E+01
4.77E+02,0.00E+00,4.44E+01,4.23E+01,3.38E+01
4.80E+02,0.00E+00,4.44E+01,4.19E+01,3.34E+01
4.83E+02,0.00E+00,4.44E+01,4.17E+01,3.37E+01
4.86E+02,0.00E+00,4.44E+01,4.16E+01,3.35E+01
4.89E+02,0.00E+00,4.44E+01,4.12E+01,3.35E+01
4.92E+02,0.00E+00,4.44E+01,4.10E+01,3.37E+01
4.95E+02,0.00E+00,4.44E+01,4.05E+01,3.36E+01
4.98E+02,0.00E+00,4.44E+01,4.00E+01,3.35E+01
5.01E+02,0.00E+00,4.44E+01,3.96E+01,3.33E+01
5.04E+02,0.00E+00,4.44E+01,3.93E+01,3.32E+01
5.07E+02,0.00E+00,4.44E+01,3.91E+01,3.33E+01
5.10E+02,0.00E+00,4.77E+01,3.90E+01,3.35E+01
5.13E+02,0.00E+00,4.77E+01,3.86E+01,3.36E+01
5.16E+02,0.00E+00,4.77E+01,3.83E+01,3.33E+01
5.19E+02,0.00E+00,4.77E+01,3.80E+01,3.36E+01
5.22E+02,0.00E+00,4.77E+01,3.78E+01,3.35E+01
5.25E+02,0.00E+00,4.77E+01,3.77E+01,3.38E+01
5.28E+02,0.00E+00,4.77E+01,3.75E+01,3.38E+01
5.31E+02,0.00E+00,4.77E+01,3.70E+01,3.36E+01
5.34E+02,0.00E+00,4.77E+01,3.70E+01,3.38E+01
5.37E+02,0.00E+00,4.77E+01,3.67E+01,3.38E+01
5.40E+02,0.00E+00,4.77E+01,3.64E+01,3.36E+01
5.43E+02,0.00E+00,4.77E+01,3.56E+01,3.29E+01
5.46E+02,0.00E+00,4.77E+01,3.59E+01,3.38E+01
5.49E+02,0.00E+00,4.77E+01,3.57E+01,3.38E+01
5.52E+02,0.00E+00,4.77E+01,3.52E+01,3.32E+01
5.55E+02,0.00E+00,4.77E+01,3.51E+01,3.37E+01
5.58E+02,0.00E+00,4.77E+01,3.49E+01,3.36E+01
5.61E+02,0.00E+00,4.77E+01,3.44E+01,3.31E+01
5.64E+02,0.00E+00,4.77E+01,3.40E+01,3.29E+01
5.67E+02,0.00E+00,4.77E+01,3.39E+01,3.29E+01
5.70E+02,0.00E+00,3.08E+01,3.39E+01,3.33E+01
5.73E+02,0.00E+00,3.08E+01,3.34E+01,3.26E+01
5.76E+02,0.00E+00,3.08E+01,3.34E+01,3.33E+01
5.79E+02,0.00E+00,3.08E+01,3.29E+01,3.28E+01
5.82E+02,0.00E+00,3.08E+01,3.27E+01,3.23E+01
5.85E+02,0.00E+00,3.08E+01,3.26E+01,3.26E+01
5.88E+02,0.00E+00,3.08E+01,3.23E+01,3.22E+01
5.91E+02,0.00E+00,3.08E+01,3.20E+01,3.21E+01
5.94E+02,0.00E+00,3.08E+01,3.20E+01,3.23E+01
5.97E+02,0.00E+00,3.08E+01,3.18E+01,3.20E+01
6.00E+02,7.86E+01,3.08E+01,3.19E+01,3.24E+01
